d,trial,per_add,num_add,user1_cohortId,user2_cohortId,match
500,598,0.02,10,24467,24467,1
500,598,0.05,25,24467,24475,0
500,598,0.1,50,24467,23895,0
500,598,0.2,100,24467,32110,0
500,598,0.3,150,24467,28246,0
500,598,0.5,250,24467,28275,0
500,599,0.01,5,3765,3765,1
500,599,0.02,10,3765,3765,1
500,599,0.05,25,3765,3765,1
500,599,0.1,50,3765,5835,0
500,599,0.2,100,3765,3765,1
500,599,0.3,150,3765,11272,0
500,599,0.5,250,3765,16933,0
500,600,0.01,5,3433,3433,1
500,600,0.02,10,3433,3433,1
500,600,0.05,25,3433,3763,0
500,600,0.1,50,3433,19173,0
500,600,0.2,100,3433,20584,0
500,600,0.3,150,3433,4615,0
500,600,0.5,250,3433,4848,0
500,601,0.01,5,20927,20927,1
500,601,0.02,10,20927,20927,1
500,601,0.05,25,20927,20842,0
500,601,0.1,50,20927,20927,1
500,601,0.2,100,20927,20926,0
500,601,0.3,150,20927,20927,1
500,601,0.5,250,20927,20927,1
500,602,0.01,5,624,624,1
500,602,0.02,10,624,624,1
500,602,0.05,25,624,644,0
500,602,0.1,50,624,624,1
500,602,0.2,100,624,3520,0
500,602,0.3,150,624,4144,0
500,602,0.5,250,624,24583,0
500,603,0.01,5,18153,18153,1
500,603,0.02,10,18153,18153,1
500,603,0.05,25,18153,18153,1
500,603,0.1,50,18153,18153,1
500,603,0.2,100,18153,18153,1
500,603,0.3,150,18153,18178,0
500,603,0.5,250,18153,18153,1
500,604,0.01,5,2157,2157,1
500,604,0.02,10,2157,2157,1
500,604,0.05,25,2157,2157,1
500,604,0.1,50,2157,2966,0
500,604,0.2,100,2157,17500,0
500,604,0.3,150,2157,2157,1
500,604,0.5,250,2157,9639,0
500,605,0.01,5,14998,14998,1
500,605,0.02,10,14998,14998,1
500,605,0.05,25,14998,14998,1
500,605,0.1,50,14998,18852,0
500,605,0.2,100,14998,20375,0
500,605,0.3,150,14998,14998,1
500,605,0.5,250,14998,14936,0
500,606,0.01,5,136,136,1
500,606,0.02,10,136,7552,0
500,606,0.05,25,136,136,1
500,606,0.1,50,136,136,1
500,606,0.2,100,136,136,1
500,606,0.3,150,136,1947,0
500,606,0.5,250,136,8456,0
500,607,0.01,5,20701,20701,1
500,607,0.02,10,20701,20701,1
500,607,0.05,25,20701,20701,1
500,607,0.1,50,20701,20701,1
500,607,0.2,100,20701,4686,0
500,607,0.3,150,20701,21230,0
500,607,0.5,250,20701,20706,0
500,608,0.01,5,30077,30077,1
500,608,0.02,10,30077,30088,0
500,608,0.05,25,30077,30084,0
500,608,0.1,50,30077,22921,0
500,608,0.2,100,30077,20370,0
500,608,0.3,150,30077,18830,0
500,608,0.5,250,30077,30088,0
500,609,0.01,5,16303,16303,1
500,609,0.02,10,16303,25482,0
500,609,0.05,25,16303,15914,0
500,609,0.1,50,16303,16303,1
500,609,0.2,100,16303,25043,0
500,609,0.3,150,16303,15867,0
500,609,0.5,250,16303,25490,0
500,610,0.01,5,7304,5263,0
500,610,0.02,10,7304,7287,0
500,610,0.05,25,7304,7304,1
500,610,0.1,50,7304,7304,1
500,610,0.2,100,7304,5330,0
500,610,0.3,150,7304,21121,0
500,610,0.5,250,7304,33759,0
500,611,0.01,5,1576,1576,1
500,611,0.02,10,1576,1576,1
500,611,0.05,25,1576,1576,1
500,611,0.1,50,1576,1576,1
500,611,0.2,100,1576,1576,1
500,611,0.3,150,1576,16066,0
